YEAR,QUARTER,ORIGIN,DEST,OPERATING_CARRIER,PASSENGERS,MARKET_FARE
2025,2,FLL,LGA,NK,1.0,155.0
2025,2,FLL,LGA,NK,1.0,155.0
2025,2,FLL,LGA,NK,1.0,156.0
2025,2,FLL,LGA,NK,1.0,156.0
2025,2,FLL,LGA,NK,1.0,156.5
2025,2,FLL,LGA,NK,1.0,156.54
2025,2,FLL,LGA,NK,1.0,157.0
2025,2,FLL,LGA,NK,1.0,158.5
2025,2,FLL,LGA,NK,1.0,159.0
2025,2,FLL,LGA,NK,1.0,159.41
2025,2,FLL,LGA,NK,1.0,159.82
2025,2,FLL,LGA,NK,1.0,160.0
2025,2,FLL,LGA,NK,1.0,160.58
2025,2,FLL,LGA,NK,1.0,161.0
2025,2,FLL,LGA,NK,1.0,162.0
2025,2,FLL,LGA,NK,1.0,164.29
2025,2,FLL,LGA,NK,1.0,164.34
2025,2,FLL,LGA,NK,1.0,165.0
2025,2,FLL,LGA,NK,1.0,165.0
2025,2,FLL,LGA,NK,1.0,165.17
2025,2,FLL,LGA,NK,1.0,165.5
2025,2,FLL,LGA,NK,1.0,166.0
2025,2,FLL,LGA,NK,1.0,166.0
2025,2,FLL,LGA,NK,1.0,166.5
2025,2,FLL,LGA,NK,1.0,167.0
2025,2,FLL,LGA,NK,1.0,168.0
2025,2,FLL,LGA,NK,1.0,168.0
2025,2,FLL,LGA,NK,1.0,169.5
2025,2,FLL,LGA,NK,1.0,170.5
2025,2,FLL,LGA,NK,1.0,172.0
2025,2,FLL,LGA,NK,1.0,172.0
2025,2,FLL,LGA,NK,1.0,172.0
2025,2,FLL,LGA,NK,1.0,172.0
2025,2,FLL,LGA,NK,1.0,172.5
2025,2,FLL,LGA,NK,1.0,173.7
2025,2,FLL,LGA,NK,1.0,174.0
2025,2,FLL,LGA,NK,1.0,175.0
2025,2,FLL,LGA,NK,1.0,175.5
2025,2,FLL,LGA,NK,1.0,175.86
2025,2,FLL,LGA,NK,1.0,176.33
2025,2,FLL,LGA,NK,1.0,177.0
2025,2,FLL,LGA,NK,1.0,177.0
2025,2,FLL,LGA,NK,1.0,179.91
2025,2,FLL,LGA,NK,1.0,180.0
2025,2,FLL,LGA,NK,1.0,180.0
2025,2,FLL,LGA,NK,1.0,181.5
2025,2,FLL,LGA,NK,1.0,182.0
2025,2,FLL,LGA,NK,1.0,182.0
2025,2,FLL,LGA,NK,1.0,182.0
2025,2,FLL,LGA,NK,1.0,182.0
2025,2,FLL,LGA,NK,1.0,182.0
2025,2,FLL,LGA,NK,1.0,182.5
2025,2,FLL,LGA,NK,1.0,183.0
2025,2,FLL,LGA,NK,1.0,183.0
2025,2,FLL,LGA,NK,1.0,183.0
2025,2,FLL,LGA,NK,1.0,183.02
2025,2,FLL,LGA,NK,1.0,184.15
2025,2,FLL,LGA,NK,1.0,184.5
2025,2,FLL,LGA,NK,1.0,185.0
2025,2,FLL,LGA,NK,1.0,186.72
2025,2,FLL,LGA,NK,1.0,187.0
2025,2,FLL,LGA,NK,1.0,187.0
2025,2,FLL,LGA,NK,1.0,187.24
2025,2,FLL,LGA,NK,1.0,188.5
2025,2,FLL,LGA,NK,1.0,188.97
2025,2,FLL,LGA,NK,1.0,189.18
2025,2,FLL,LGA,NK,1.0,190.0
2025,2,FLL,LGA,NK,1.0,190.6
2025,2,FLL,LGA,NK,1.0,191.0
2025,2,FLL,LGA,NK,1.0,191.5
2025,2,FLL,LGA,NK,1.0,192.0
2025,2,FLL,LGA,NK,1.0,192.48
2025,2,FLL,LGA,NK,1.0,195.0
2025,2,FLL,LGA,NK,1.0,195.86
2025,2,FLL,LGA,NK,1.0,195.86
2025,2,FLL,LGA,NK,1.0,196.0
2025,2,FLL,LGA,NK,1.0,196.5
2025,2,FLL,LGA,NK,1.0,197.5
2025,2,FLL,LGA,NK,1.0,197.58
2025,2,FLL,LGA,NK,1.0,198.0
2025,2,FLL,LGA,NK,1.0,198.51
2025,2,FLL,LGA,NK,1.0,200.4
2025,2,FLL,LGA,NK,1.0,201.57
2025,2,FLL,LGA,NK,1.0,202.0
2025,2,FLL,LGA,NK,1.0,203.0
2025,2,FLL,LGA,NK,1.0,204.0
2025,2,FLL,LGA,NK,1.0,204.0
2025,2,FLL,LGA,NK,1.0,205.5
2025,2,FLL,LGA,NK,1.0,206.5
2025,2,FLL,LGA,NK,1.0,206.5
2025,2,FLL,LGA,NK,1.0,207.0
2025,2,FLL,LGA,NK,1.0,207.5
2025,2,FLL,LGA,NK,1.0,208.5
2025,2,FLL,LGA,NK,1.0,209.0
2025,2,FLL,LGA,NK,1.0,211.0
2025,2,FLL,LGA,NK,1.0,216.32
2025,2,FLL,LGA,NK,1.0,217.0
2025,2,FLL,LGA,NK,1.0,217.0
2025,2,FLL,LGA,NK,1.0,218.0
2025,2,FLL,LGA,NK,1.0,218.0
2025,2,FLL,LGA,NK,1.0,219.0
2025,2,FLL,LGA,NK,1.0,220.0
2025,2,FLL,LGA,NK,1.0,220.0
2025,2,FLL,LGA,NK,1.0,220.5
2025,2,FLL,LGA,NK,1.0,221.5
2025,2,FLL,LGA,NK,1.0,223.5
2025,2,FLL,LGA,NK,1.0,224.0
2025,2,FLL,LGA,NK,1.0,224.58
2025,2,FLL,LGA,NK,1.0,226.0
2025,2,FLL,LGA,NK,1.0,226.5
2025,2,FLL,LGA,NK,1.0,229.0
2025,2,FLL,LGA,NK,1.0,230.5
2025,2,FLL,LGA,NK,1.0,231.0
2025,2,FLL,LGA,NK,1.0,231.5
2025,2,FLL,LGA,NK,1.0,232.0
2025,2,FLL,LGA,NK,1.0,232.5
2025,2,FLL,LGA,NK,1.0,233.0
2025,2,FLL,LGA,NK,1.0,233.0
2025,2,FLL,LGA,NK,1.0,234.5
2025,2,FLL,LGA,NK,1.0,235.51
2025,2,FLL,LGA,NK,1.0,235.59
2025,2,FLL,LGA,NK,1.0,237.0
2025,2,FLL,LGA,NK,1.0,237.0
2025,2,FLL,LGA,NK,1.0,238.0
2025,2,FLL,LGA,NK,1.0,239.0
2025,2,FLL,LGA,NK,1.0,239.0
2025,2,FLL,LGA,NK,1.0,239.73
2025,2,FLL,LGA,NK,1.0,240.23
2025,2,FLL,LGA,NK,1.0,241.5
2025,2,FLL,LGA,NK,1.0,242.0
2025,2,FLL,LGA,NK,1.0,242.0
2025,2,FLL,LGA,NK,1.0,242.5
2025,2,FLL,LGA,NK,1.0,243.0
2025,2,FLL,LGA,NK,1.0,243.0
2025,2,FLL,LGA,NK,1.0,243.0
2025,2,FLL,LGA,NK,1.0,243.51
2025,2,FLL,LGA,NK,1.0,246.4
2025,2,FLL,LGA,NK,1.0,249.0
2025,2,FLL,LGA,NK,1.0,249.0
2025,2,FLL,LGA,NK,1.0,251.0
2025,2,FLL,LGA,NK,1.0,252.0
2025,2,FLL,LGA,NK,1.0,252.8
2025,2,FLL,LGA,NK,1.0,253.0
2025,2,FLL,LGA,NK,1.0,255.0
2025,2,FLL,LGA,NK,1.0,256.0
2025,2,FLL,LGA,NK,1.0,257.0
2025,2,FLL,LGA,NK,1.0,258.0
2025,2,FLL,LGA,NK,1.0,258.0
2025,2,FLL,LGA,NK,1.0,258.0
2025,2,FLL,LGA,NK,1.0,260.76
2025,2,FLL,LGA,NK,1.0,261.0
2025,2,FLL,LGA,NK,1.0,261.5
2025,2,FLL,LGA,NK,1.0,262.0
2025,2,FLL,LGA,NK,1.0,262.0
2025,2,FLL,LGA,NK,1.0,262.5
2025,2,FLL,LGA,NK,1.0,263.0
2025,2,FLL,LGA,NK,1.0,263.27
2025,2,FLL,LGA,NK,1.0,264.0
2025,2,FLL,LGA,NK,1.0,264.5
2025,2,FLL,LGA,NK,1.0,265.0
2025,2,FLL,LGA,NK,1.0,265.36
2025,2,FLL,LGA,NK,1.0,268.37
2025,2,FLL,LGA,NK,1.0,270.0
2025,2,FLL,LGA,NK,1.0,270.5
2025,2,FLL,LGA,NK,1.0,270.5
2025,2,FLL,LGA,NK,1.0,271.0
2025,2,FLL,LGA,NK,1.0,272.0
2025,2,FLL,LGA,NK,1.0,272.07
2025,2,FLL,LGA,NK,1.0,274.0
2025,2,FLL,LGA,NK,1.0,274.0
2025,2,FLL,LGA,NK,1.0,276.0
2025,2,FLL,LGA,NK,1.0,276.5
2025,2,FLL,LGA,NK,1.0,276.5
2025,2,FLL,LGA,NK,1.0,277.0
2025,2,FLL,LGA,NK,1.0,280.0
2025,2,FLL,LGA,NK,1.0,282.0
2025,2,FLL,LGA,NK,1.0,283.0
2025,2,FLL,LGA,NK,1.0,284.0
2025,2,FLL,LGA,NK,1.0,284.0
2025,2,FLL,LGA,NK,1.0,287.0
2025,2,FLL,LGA,NK,1.0,287.61
2025,2,FLL,LGA,NK,1.0,288.0
2025,2,FLL,LGA,NK,1.0,288.5
2025,2,FLL,LGA,NK,1.0,293.0
2025,2,FLL,LGA,NK,1.0,294.0
2025,2,FLL,LGA,NK,1.0,294.0
2025,2,FLL,LGA,NK,1.0,295.0
2025,2,FLL,LGA,NK,1.0,297.0
2025,2,FLL,LGA,NK,1.0,297.0
2025,2,FLL,LGA,NK,1.0,297.0
2025,2,FLL,LGA,NK,1.0,297.0
2025,2,FLL,LGA,NK,1.0,299.0
2025,2,FLL,LGA,NK,1.0,299.0
2025,2,FLL,LGA,NK,1.0,304.0
2025,2,FLL,LGA,NK,1.0,309.0
2025,2,FLL,LGA,NK,1.0,314.0
2025,2,FLL,LGA,NK,1.0,319.0
2025,2,FLL,LGA,NK,1.0,321.0
2025,2,FLL,LGA,NK,1.0,321.5
2025,2,FLL,LGA,NK,1.0,322.0
2025,2,FLL,LGA,NK,1.0,322.0
2025,2,FLL,LGA,NK,1.0,325.0
2025,2,FLL,LGA,NK,1.0,328.0
2025,2,FLL,LGA,NK,1.0,333.0
2025,2,FLL,LGA,NK,1.0,334.0
2025,2,FLL,LGA,NK,1.0,334.5
2025,2,FLL,LGA,NK,1.0,335.0
2025,2,FLL,LGA,NK,1.0,337.0
2025,2,FLL,LGA,NK,1.0,338.0
2025,2,FLL,LGA,NK,1.0,339.0
2025,2,FLL,LGA,NK,1.0,339.0
2025,2,FLL,LGA,NK,1.0,344.0
2025,2,FLL,LGA,NK,1.0,346.5
2025,2,FLL,LGA,NK,1.0,347.0
2025,2,FLL,LGA,NK,1.0,351.5
2025,2,FLL,LGA,NK,1.0,354.0
2025,2,FLL,LGA,NK,1.0,355.0
2025,2,FLL,LGA,NK,1.0,364.0
2025,2,FLL,LGA,NK,1.0,366.0
2025,2,FLL,LGA,NK,1.0,366.5
2025,2,FLL,LGA,NK,1.0,369.0
2025,2,FLL,LGA,NK,1.0,374.76
2025,2,FLL,LGA,NK,1.0,374.92
2025,2,FLL,LGA,NK,1.0,375.0
2025,2,FLL,LGA,NK,1.0,377.0
2025,2,FLL,LGA,NK,1.0,378.0
2025,2,FLL,LGA,NK,1.0,382.0
2025,2,FLL,LGA,NK,1.0,385.4
2025,2,FLL,LGA,NK,1.0,392.0
2025,2,FLL,LGA,NK,1.0,394.0
2025,2,FLL,LGA,NK,1.0,397.0
2025,2,FLL,LGA,NK,1.0,399.0
2025,2,FLL,LGA,NK,1.0,400.0
2025,2,FLL,LGA,NK,1.0,414.0
2025,2,FLL,LGA,NK,1.0,414.0
2025,2,FLL,LGA,NK,1.0,417.0
2025,2,FLL,LGA,NK,1.0,419.0
2025,2,FLL,LGA,NK,1.0,421.0
2025,2,FLL,LGA,NK,1.0,426.0
